Tabel 1;;;;;
Gemiddeld persoonlijk inkomen per inwoner particulier huishouden, het percentage particuliere huishoudens behorende tot de 40% huishoudens met het laagste besteedbaar;;;;;
inkomen van de landelijke inkomensverdeling en het percentage particuliere huishoudens behorende tot de 20% huishoudens met het hoogste besteedbaar inkomen van de ;;;;;
landelijke inkomensverdeling naar gemeente en wijk, 2020;;;;;
;;;Gemiddeld;40% huishoudens;20% huishoudens
;;;persoonlijk ;met laagste;met hoogste
;;;inkomen;besteedbaar;besteedbaar
;;;per inwoner;inkomen;inkomen
Gemeentelijke indeling van 2023;;;;;
Gemeentecode;Wijkcode;Regionaam;;;
;;;;;
;;;x 1000 euro;%;
;;;;;
;WK016011;Diffelen;26,3;.;.
;WK016012;Gramsbergen;24,4;33,6;19,5
;WK016013;Heemserveen;24,6;24,5;28,2
;WK016014;Holtheme;27,0;.;.
;WK016015;Holthone;23,7;.;.
;WK016016;Hoogenweg;25,5;16,8;32,2
;WK016017;Kloosterhaar;22,8;33,4;17,7
;WK016018;Loozen;26,9;.;.
;WK016019;Lutten;23,6;25,8;18,9
;WK016020;Marienberg;21,3;23,3;24,9
;WK016021;Radewijk;25,9;23,5;29,0
;WK016022;Rheeze;24,7;.;.
;WK016023;Rheezerveen;24,6;30,6;25,9
;WK016024;Schuinesloot;24,6;23,3;28,0
;WK016025;Sibculo;20,8;30,5;22,2
;WK016026;Slagharen;23,5;35,3;17,6
;WK016027;Venebrugge;24,0;.;.
;WK016028;Hardenberg;24,5;37,5;17,3
;WK016029;Bruchterveld;23,2;25,2;22,0
GM0163;Totaal;Hellendoorn;25,2;32,7;20,2
;WK016301;Wijk 01 Hellendoorn;25,2;31,0;21,0
;WK016302;Wijk 02 Nijverdal Noord;27,6;24,0;25,2
;WK016303;Wijk 03 Nijverdal West;26,4;41,5;15,7
;WK016304;Wijk 04 Nijverdal Oost;23,0;39,2;13,0
;WK016305;Wijk 05 Buitengebied;27,1;24,0;35,2
;WK016306;Wijk 06 Kruidenwijk;25,6;23,9;23,9
;WK016307;Wijk 07 Haarle;24,3;32,8;16,9
;WK016308;Wijk 08 Daarle;22,9;22,7;20,9
;WK016309;Wijk 09 Daarlerveen;23,2;30,9;18,5
GM0164;Totaal;Hengelo;26,0;43,2;15,8
;WK016400;Wijk 00 Binnenstad;29,2;54,6;11,5
;WK016401;Wijk 01 Hengelose Es;24,6;46,8;13,8
;WK016402;Wijk 02 Noord;22,3;54,5;9,6
;WK016403;Wijk 03 Hasseler Es;25,3;31,1;17,1
;WK016404;Wijk 04 Groot Driene;25,0;48,3;12,3
;WK016405;Wijk 05 Berflo Es;23,5;55,7;8,3
;WK016406;Wijk 06 Wilderinkshoek;26,6;47,0;13,0
;WK016407;Wijk 07 Woolde;28,0;41,8;15,7
;WK016408;Wijk 08 Slangenbeek;30,5;18,5;36,7
;WK016409;Wijk 09 Buitengebied;30,5;27,6;36,4
GM0166;Totaal;Kampen;24,1;36,8;18,4
;WK016600;Kampen;24,0;40,5;15,4
;WK016602;Reeve;.;.;.
;WK016603;IJsselmuiden;24,1;28,4;24,5
;WK016604;Zalk;24,2;22,9;29,3
;WK016605;Wilsum;25,1;28,9;22,7
;WK016606;Grafhorst;23,6;21,9;31,6
;WK016607;Kamperveen;23,3;18,1;36,2
;WK016608;s-Heerenbroek;26,4;20,9;38,7
;WK016609;Mastenbroek;26,4;.;.
GM0168;Totaal;Losser;25,0;35,7;19,8
;WK016800;Wijk 00 Losser;25,1;36,5;18,0
;WK016801;Wijk 01 Glane;26,5;33,0;22,5
;WK016802;Wijk 02 Overdinkel;22,0;44,5;14,2
;WK016803;Wijk 03 De Lutte;26,9;26,3;29,3
;WK016804;Wijk 04 Beuningen;27,6;20,5;34,4
GM0171;Totaal;Noordoostpolder;24,6;35,4;18,6
;WK017101;Wijk 01 Emmeloord;23,9;39,4;15,3
;WK017102;Wijk 02 Bant;25,0;25,4;25,4
;WK017103;Wijk 03 Luttelgeest;27,4;26,9;23,1
;WK017104;Wijk 04 Marknesse;25,7;32,1;19,8
;WK017105;Wijk 05 Kraggenburg;28,4;27,1;25,9
;WK017106;Wijk 06 Ens;24,7;30,9;22,9
;WK017107;Wijk 07 Nagele;24,4;37,3;19,2
;WK017108;Wijk 08 Tollebeek;23,6;24,6;26,6
;WK017109;Wijk 09 Espel;26,8;26,7;24,1
;WK017110;Wijk 10 Creil;25,9;30,4;24,0
;WK017111;Wijk 11 Rutten;24,8;32,0;25,5
;WK017112;Wijk 12 Schokland;.;.;.
GM0173;Totaal;Oldenzaal;26,2;37,8;18,5
;WK017301;Wijk 01 Binnenstad;28,2;63,0;9,0
;WK017302;Wijk 02 Het Inslag-De Kleies;27,2;50,0;15,9
;WK017303;Wijk 03 Glinde-Hooiland;23,4;51,0;12,1
;WK017304;Wijk 04 De Meijbree;28,8;37,2;26,1
;WK017305;Wijk 05 Haerbroek-Scholtenhoek;34,8;23,4;33,2
;WK017306;Wijk 06 Zuid-Berghuizen;22,5;49,0;11,4
;WK017307;Wijk 07 Hanzepoort;.;.;.
;WK017308;Wijk 08 Eekte-Hazewinkel;24,7;.;.
;WK017309;Wijk 09 Jufferbeek;.;.;.
;WK017310;Wijk 10 Het Hulsbeek;28,4;.;.
;WK017311;Wijk 11 De Thij;22,7;35,4;12,4
;WK017312;Wijk 12 De Graven Es;29,2;14,8;33,0
;WK017313;Wijk 13 De Essen;26,6;21,9;22,9
;WK017314;Wijk 14 Bekspring;27,1;.;.
